weekly_self_study_hours,attendance_percentage,class_participation,total_score,grade
18.5,95.6,3.8,97.9,A
14.0,80.0,2.5,83.9,B
19.5,86.3,5.3,100.0,A
25.7,70.2,7.0,100.0,A
13.4,81.9,6.9,92.0,A
13.4,65.1,5.0,97.5,A
26.1,81.8,5.9,100.0,A
20.4,100.0,4.0,96.1,A
11.7,100.0,8.2,69.8,C
18.8,67.6,6.0,80.3,B
11.8,82.3,4.6,66.4,C
11.7,75.9,7.6,72.5,B
16.7,77.9,2.5,95.2,A
1.6,92.1,5.7,60.9,C
2.9,90.7,5.4,52.1,D
11.1,87.4,3.9,73.5,B
7.9,85.9,7.7,63.0,C
17.2,74.0,8.1,100.0,A
8.6,100.0,9.0,75.4,B
5.1,91.4,4.5,57.9,C
25.3,89.3,6.4,100.0,A
13.4,93.5,9.4,79.0,B
15.5,100.0,8.5,76.3,B
5.0,74.2,5.0,58.7,C
11.2,96.1,4.9,68.3,C
15.8,81.1,5.0,97.2,A
6.9,73.6,6.1,68.4,C
17.6,83.9,8.9,100.0,A
10.8,86.2,3.4,63.6,C
13.0,75.0,5.7,89.2,A
10.8,76.6,5.0,77.4,B
28.0,89.2,6.5,100.0,A
14.9,68.4,7.2,82.6,B
7.6,93.0,6.2,71.9,B
20.8,85.2,7.7,97.4,A
6.5,86.4,8.2,61.6,C
16.5,86.8,4.6,99.5,A
1.3,92.9,8.6,50.1,D
5.7,93.4,8.3,56.7,C
16.4,76.5,2.6,84.0,B
20.2,85.6,5.6,100.0,A
16.2,84.2,7.0,100.0,A
14.2,76.5,6.1,63.6,C
12.9,78.7,3.7,100.0,A
4.7,100.0,3.3,55.9,C
10.0,83.4,7.3,89.6,A
11.8,89.5,3.3,78.7,B
22.4,85.9,5.8,90.3,A
17.4,79.9,7.6,71.0,B
2.7,77.5,6.4,51.1,D
17.3,93.8,8.8,82.7,B
12.3,84.6,6.8,91.0,A
10.3,90.3,6.0,92.7,A
19.3,77.7,8.2,100.0,A
22.2,80.2,4.1,100.0,A
21.5,84.1,7.7,100.0,A
9.1,81.4,5.4,76.9,B
12.8,83.7,4.9,91.9,A
17.3,99.0,6.9,89.5,A
21.8,94.7,6.0,100.0,A
11.6,80.9,2.7,71.2,B
13.7,89.6,5.5,81.9,B
7.3,68.3,6.9,67.1,C
6.6,85.3,3.4,69.9,C
20.7,85.8,6.8,96.5,A
24.5,82.0,8.4,100.0,A
14.5,73.7,7.1,80.4,B
22.0,85.0,9.7,92.2,A
17.5,83.1,8.8,83.6,B
10.5,91.8,3.8,78.8,B
17.5,82.9,5.2,93.2,A
25.8,82.6,7.0,100.0,A
14.7,70.6,3.8,84.5,B
26.0,88.5,9.0,100.0,A
0.0,86.4,6.8,47.4,D
20.8,81.6,4.4,97.5,A
15.6,90.1,7.7,90.8,A
12.9,80.4,6.0,87.7,A
15.6,100.0,6.1,91.7,A
1.1,81.4,4.3,54.6,D
13.5,69.7,5.5,81.0,B
17.5,64.4,6.4,79.5,B
25.3,85.0,4.3,100.0,A
11.4,83.4,8.3,62.3,C
9.3,69.7,7.5,64.9,C
11.5,84.1,4.5,93.3,A
21.4,100.0,4.6,100.0,A
17.3,64.7,8.9,98.4,A
11.3,80.9,4.2,69.2,C
18.6,80.6,4.4,93.9,A
15.7,74.6,3.3,100.0,A
21.8,92.7,7.9,100.0,A
10.1,78.4,4.9,79.7,B
12.7,95.9,6.3,86.6,A
12.3,70.9,8.5,72.0,B
4.8,79.9,4.2,73.6,B
17.1,76.7,7.6,67.3,C
16.8,95.7,5.3,73.1,B
15.0,80.7,6.0,100.0,A
13.4,91.1,6.0,63.9,C
5.1,62.6,8.3,72.9,B
12.1,94.3,2.2,73.4,B
12.6,73.3,4.5,68.1,C
9.4,72.5,5.4,86.1,A
13.9,91.9,9.5,83.0,B
17.8,74.7,4.6,77.7,B
28.2,97.9,6.3,100.0,A
16.2,100.0,5.0,93.6,A
16.8,81.5,4.9,100.0,A
14.5,82.3,3.9,100.0,A
1.6,97.0,5.3,43.5,D
14.8,75.1,5.5,93.8,A
15.4,96.3,5.7,78.9,B
32.2,84.4,4.9,100.0,A
13.7,93.3,5.3,84.2,B
17.1,77.8,9.3,100.0,A
14.8,97.8,5.0,100.0,A
6.8,70.7,6.4,73.2,B
23.0,99.6,7.8,100.0,A
20.3,96.1,7.7,95.4,A
20.5,79.3,8.2,92.1,A
8.6,88.4,6.7,76.7,B
24.8,80.0,6.6,100.0,A
5.2,87.7,6.9,74.1,B
19.1,79.9,3.6,74.2,B
30.3,75.7,1.1,100.0,A
8.1,88.9,4.5,74.0,B
11.0,87.0,5.5,72.6,B
15.7,84.9,6.5,74.8,B
11.5,83.8,3.1,54.7,D
4.1,92.4,2.5,50.6,D
15.5,80.1,6.5,86.8,A
7.6,77.9,4.6,92.6,A
18.3,97.3,7.5,97.3,A
8.6,80.4,6.1,70.6,B
25.8,77.7,6.9,100.0,A
9.5,79.3,3.6,81.9,B
12.7,78.3,10.0,78.7,B
20.7,100.0,6.1,100.0,A
6.4,84.1,4.8,54.8,D
16.6,70.8,7.0,95.0,A
24.1,86.1,4.2,100.0,A
3.7,71.7,1.2,58.2,C
16.3,100.0,5.7,87.9,A
16.8,100.0,7.8,86.2,A
20.5,94.3,9.7,86.1,A
